"","","구 분","당분기
(2023.3.31)","","전년동기
(2022.3.31)",""
"","","","금 액","구성비","금 액","구성비"
"자
산","현금 및 예치금","","24,644","0.93","25,948","0.93"
"","당기손익-공정가치측정유가증권","","116,339","4.38","0","0.00"
"","당기손익인식금융자산","","0","0.00","13,929","0.50"
"","기타포괄손익-공정가치측정유가증권","","1,555,915","58.59","0","0.00"
"","매도가능금융자산","","0","0.00","1,792,754","64.55"
"","만기보유금융자산","","0","0.00","2,429","0.09"
"","상각후원가측정유가증권","","0","0.00","0","0.00"
"","관계∙종속기업투자주식","","135,622","5.11","99,576","3.59"
"","대출채권","","482,281","18.16","483,311","17.40"
"","부동산","","37,810","1.42","38,847","1.39"
"","비운용자산","","32,583","1.23","26,012","0.94"
"","특별계정자산","","270,406","10.18","294,570","10.61"
"자산총계","","","2,655,600","100.00","2,777,376","100.00"
"부채
및
자본","","책임준비금","1,861,534","80.27","1,693,867","69.03"
"","","계약자지분조정","67,029","2.89","95,989","3.91"
"","","기타부채","120,139","5.18","369,418","15.06"
"","","특별계정부채","270,427","11.66","294,325","12.00"
"","부채총계","","2,319,129","100.00","2,453,599","100.00"
"","자본총계","","336,471","","323,777",""
"부채 및 자본총계","","","2,655,600","","2,777,376",""
