timestamp,page,user,click
2020-07-07 00:00:00,12,78,103
2020-07-07 00:10:00,14,76,108
2020-07-07 00:20:00,15,66,93
2020-07-07 00:30:00,15,71,102
2020-07-07 00:40:00,14,75,101
2020-07-07 00:50:00,15,79,108
2020-07-07 01:00:00,16,77,106
2020-07-07 01:10:00,17,65,85
2020-07-07 01:20:00,16,84,113
2020-07-07 01:30:00,14,88,112
2020-07-07 01:40:00,15,81,103
2020-07-07 01:50:00,15,87,115
2020-07-07 02:00:00,13,88,109
2020-07-07 02:10:00,17,85,119
2020-07-07 02:20:00,17,101,131
2020-07-07 02:30:00,15,85,119
2020-07-07 02:40:00,14,87,116
2020-07-07 02:50:00,15,88,131
2020-07-07 03:00:00,14,78,115
2020-07-07 03:10:00,17,71,88
2020-07-07 03:20:00,15,69,89
2020-07-07 03:30:00,17,72,102
2020-07-07 03:40:00,16,82,109
2020-07-07 03:50:00,17,76,101
2020-07-07 04:00:00,14,77,110
2020-07-07 04:10:00,15,78,98
2020-07-07 04:20:00,12,66,88
2020-07-07 04:30:00,13,82,107
2020-07-07 04:40:00,16,70,92
2020-07-07 04:50:00,15,66,92
2020-07-07 05:00:00,16,73,99
2020-07-07 05:10:00,16,83,117
2020-07-07 05:20:00,14,70,101
2020-07-07 05:30:00,13,74,94
2020-07-07 05:40:00,15,73,109
2020-07-07 05:50:00,17,74,110
2020-07-07 06:00:00,16,81,121
2020-07-07 06:10:00,19,93,130
2020-07-07 06:20:00,18,80,124
2020-07-07 06:30:00,15,75,107
2020-07-07 06:40:00,18,91,132
2020-07-07 06:50:00,15,98,128
2020-07-07 07:00:00,16,70,99
2020-07-07 07:10:00,16,80,107
2020-07-07 07:20:00,11,61,79
2020-07-07 07:30:00,18,79,100
2020-07-07 07:40:00,16,81,118
2020-07-07 07:50:00,14,82,118
2020-07-07 08:00:00,18,102,137
2020-07-07 08:10:00,16,93,134
2020-07-07 08:20:00,17,97,130
2020-07-07 08:30:00,17,99,145
2020-07-07 08:40:00,18,99,147
2020-07-07 08:50:00,18,105,140
2020-07-07 09:00:00,20,117,173
2020-07-07 09:10:00,20,113,169
2020-07-07 09:20:00,16,130,193
2020-07-07 09:30:00,17,122,186
2020-07-07 09:40:00,18,139,182
2020-07-07 09:50:00,17,129,173
2020-07-07 10:00:00,19,141,198
2020-07-07 10:10:00,18,153,201
2020-07-07 10:20:00,19,155,230
2020-07-07 10:30:00,19,154,216
2020-07-07 10:40:00,19,147,210
2020-07-07 10:50:00,16,150,191
2020-07-07 11:00:00,18,101,281
2020-07-07 11:10:00,18,75,267
2020-07-07 11:20:00,20,80,314
2020-07-07 11:30:00,18,64,286
2020-07-07 11:40:00,20,192,282
2020-07-07 11:50:00,20,208,326
2020-07-07 12:00:00,20,231,351
2020-07-07 12:10:00,20,215,308
2020-07-07 12:20:00,20,232,331
2020-07-07 12:30:00,20,206,308
2020-07-07 12:40:00,20,239,342
2020-07-07 12:50:00,20,212,314
2020-07-07 13:00:00,20,272,437
2020-07-07 13:10:00,20,249,361
2020-07-07 13:20:00,20,273,441
2020-07-07 13:30:00,20,275,439
2020-07-07 13:40:00,18,274,428
2020-07-07 13:50:00,20,280,449
2020-07-07 14:00:00,19,273,419
2020-07-07 14:10:00,20,275,417
2020-07-07 14:20:00,20,287,422
2020-07-07 14:30:00,19,107,123
2020-07-07 14:40:00,19,159,199
2020-07-07 14:50:00,19,278,418
2020-07-07 15:00:00,19,242,370
2020-07-07 15:10:00,20,238,376
2020-07-07 15:20:00,18,231,361
2020-07-07 15:30:00,19,242,387
2020-07-07 15:40:00,20,235,372
2020-07-07 15:50:00,20,239,366
2020-07-07 16:00:00,20,215,311
2020-07-07 16:10:00,20,228,331
2020-07-07 16:20:00,19,228,328
2020-07-07 16:30:00,20,222,334
2020-07-07 16:40:00,20,214,344
2020-07-07 16:50:00,20,214,346
2020-07-07 17:00:00,19,164,246
2020-07-07 17:10:00,19,185,261
2020-07-07 17:20:00,20,178,258
2020-07-07 17:30:00,20,176,262
2020-07-07 17:40:00,19,189,263
2020-07-07 17:50:00,19,190,268
2020-07-07 18:00:00,20,175,269
2020-07-07 18:10:00,20,187,298
2020-07-07 18:20:00,19,199,291
2020-07-07 18:30:00,19,190,287
2020-07-07 18:40:00,20,184,263
2020-07-07 18:50:00,17,177,258
2020-07-07 19:00:00,18,136,188
2020-07-07 19:10:00,19,126,181
2020-07-07 19:20:00,19,124,183
2020-07-07 19:30:00,17,127,180
2020-07-07 19:40:00,18,116,173
2020-07-07 19:50:00,18,126,177
2020-07-07 20:00:00,19,95,153
2020-07-07 20:10:00,19,99,157
2020-07-07 20:20:00,20,96,158
2020-07-07 20:30:00,17,99,150
2020-07-07 20:40:00,17,101,139
2020-07-07 20:50:00,15,102,145
2020-07-07 21:00:00,14,74,105
2020-07-07 21:10:00,16,84,130
2020-07-07 21:20:00,12,71,100
2020-07-07 21:30:00,14,75,96
2020-07-07 21:40:00,16,82,106
2020-07-07 21:50:00,16,78,107
2020-07-07 22:00:00,15,83,105
2020-07-07 22:10:00,15,84,118
2020-07-07 22:20:00,16,87,114
2020-07-07 22:30:00,13,62,81
2020-07-07 22:40:00,14,77,103
2020-07-07 22:50:00,16,87,119
2020-07-07 23:00:00,18,89,131
2020-07-07 23:10:00,15,101,136
2020-07-07 23:20:00,18,92,132
2020-07-07 23:30:00,16,90,125
2020-07-07 23:40:00,12,73,99
2020-07-07 23:50:00,14,81,116
2020-07-08 00:00:00,17,82,117
2020-07-08 00:10:00,17,86,108
2020-07-08 00:20:00,13,84,116
2020-07-08 00:30:00,18,72,104
2020-07-08 00:40:00,13,78,111
2020-07-08 00:50:00,16,76,112
2020-07-08 01:00:00,17,75,105
2020-07-08 01:10:00,16,72,106
2020-07-08 01:20:00,13,90,118
2020-07-08 01:30:00,15,72,95
2020-07-08 01:40:00,14,76,115
2020-07-08 01:50:00,15,76,105
2020-07-08 02:00:00,18,75,112
2020-07-08 02:10:00,17,81,107
2020-07-08 02:20:00,13,75,105
2020-07-08 02:30:00,17,86,124
2020-07-08 02:40:00,15,75,107
2020-07-08 02:50:00,15,75,100
2020-07-08 03:00:00,16,93,126
2020-07-08 03:10:00,16,69,102
2020-07-08 03:20:00,14,87,121
2020-07-08 03:30:00,14,85,121
2020-07-08 03:40:00,15,84,114
2020-07-08 03:50:00,13,87,124
2020-07-08 04:00:00,12,84,115
2020-07-08 04:10:00,16,83,114
2020-07-08 04:20:00,12,83,122
2020-07-08 04:30:00,19,90,131
2020-07-08 04:40:00,17,72,105
2020-07-08 04:50:00,16,78,105
2020-07-08 05:00:00,18,74,103
2020-07-08 05:10:00,15,77,112
2020-07-08 05:20:00,16,75,105
2020-07-08 05:30:00,14,86,113
2020-07-08 05:40:00,17,73,93
2020-07-08 05:50:00,17,81,113
2020-07-08 06:00:00,17,89,113
2020-07-08 06:10:00,15,77,104
2020-07-08 06:20:00,17,77,103
2020-07-08 06:30:00,14,71,99
2020-07-08 06:40:00,17,89,128
2020-07-08 06:50:00,13,75,108
2020-07-08 07:00:00,18,90,117
2020-07-08 07:10:00,16,109,133
2020-07-08 07:20:00,17,97,128
2020-07-08 07:30:00,18,81,116
2020-07-08 07:40:00,14,86,110
2020-07-08 07:50:00,17,97,123
2020-07-08 08:00:00,15,94,134
2020-07-08 08:10:00,17,95,130
2020-07-08 08:20:00,15,94,136
2020-07-08 08:30:00,17,94,133
2020-07-08 08:40:00,10,74,98
2020-07-08 08:50:00,14,87,125
2020-07-08 09:00:00,17,116,165
2020-07-08 09:10:00,17,120,183
2020-07-08 09:20:00,20,113,172
2020-07-08 09:30:00,16,114,158
2020-07-08 09:40:00,17,117,166
