컬럼 명,컬럼 한글명,DATA TYPE
record_type,레코드유형,VARCHAR
cust_no,통합고객번호,VARCHAR
mdl_cd,모델코드,VARCHAR
base_dt,기준일자,VARCHAR
qt,수량,INTEGER
amt,금액,BIGINT
prdc_lvl1_cd,제품1레벨코드,VARCHAR
prdc_lvl1_nm,제품1레벨명,VARCHAR
prdc_lvl2_cd,제품2레벨코드,VARCHAR
prdc_lvl2_nm,제품2레벨명,VARCHAR
prdc_lvl3_cd,제품3레벨코드,VARCHAR
prdc_lvl3_nm,제품3레벨명,VARCHAR
prdc_lvl4_cd,제품4레벨코드,VARCHAR
prdc_lvl4_nm,제품4레벨명,VARCHAR
chnl_div_hpos_val,채널구분상위값,VARCHAR
chnl_div_val,채널구분값,VARCHAR
buy_rsn_nm,구매사유명,VARCHAR
buy_type,구매유형,VARCHAR
onln_buy_yn,온라인구매여부,VARCHAR
wedd_move_category,혼수이사카테고리,VARCHAR
ordr_stts_nm,주문상태명,VARCHAR
pdp_view_cnt,PDP조회수,INTEGER
pdfm_dv_val,제품군구분값,VARCHAR
up_hma_dv_val,UP가전구분값,VARCHAR
objt_dv_val,오브제구분값,VARCHAR
stry_prdc_dv_val,전략제품구분값,VARCHAR
grw_lead_prdc_dv_val,성장주도제품구분값,VARCHAR
mdl_category,모델카테고리,VARCHAR
pdfm_dtl_dv_val,제품군상세구분값,VARCHAR
dios_pdfm_dv_val,디오스제품군구분값,VARCHAR
ap_dv_val,공기청정기구분값,VARCHAR
tv_oled_dv_val,OLEDTV구분값,VARCHAR
wm_tongdol_dv_val,통돌이세탁기구분값,VARCHAR
wp_lvl1_dv_val,정수기1레벨구분값,VARCHAR
wp_lvl2_dv_val,정수기2레벨구분값,VARCHAR
wp_lvl3_dv_val,정수기3레벨구분값,VARCHAR
rf_gc_dv_val,김치냉장고구분값,VARCHAR
rf_liter_dv_val,냉장고리터별구분값,VARCHAR
rf_dv_val,냉장고구분값,VARCHAR
shba_buy_category,장바구니구매카테고리,VARCHAR
pdp_buy_category,PDP구매카테고리,VARCHAR
age,연령,INTEGER
age_group,연령대,VARCHAR
gendr_nm,성별,VARCHAR
ctdo_nm,시/도명,VARCHAR
ccw_nm,시/군/구명,VARCHAR
dong_nm,읍/면/동명,VARCHAR
bld_usg_scls_nm,거주유형명,VARCHAR
eqdr_group,평형대,VARCHAR
apt_eci_group,아파트평균소득분포,VARCHAR
det_eci_group,일반주택평균소득분포,VARCHAR
pdp_view_yn,PDP조회여부,VARCHAR
stand_by_me_new_entr_yn,스탠바이미신규가입여부,VARCHAR
pdp_view_after_shba_add_yn,PDP조회이후장바구니추가여부,VARCHAR
pdp_view_after_buy_yn,PDP조회이후구매여부,VARCHAR
stand_by_me_buy_yn,스탠바이미구매여부,VARCHAR
stand_by_me_go_buy_yn,스탠바이미GO구매여부,VARCHAR
room_and_tv_buy_yn,룸앤티비구매여부,VARCHAR
cinebeam_buy_yn,시네빔구매여부,VARCHAR
tlamp_user_yn,TLAMP사용자여부,VARCHAR
re_ordr_dt,재주문일자,VARCHAR
diff_days,차이일수,INTEGER
diff_days_category,차이일수(카테고리),VARCHAR
